Epoch [1/2], Step: [232/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [233/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [234/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [235/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [236/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [237/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [238/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [239/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [240/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [241/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [242/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [243/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [244/781], Avg time for each step 0.0461s
Epoch [1/2], Step: [245/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [246/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [247/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [248/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [249/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [250/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [251/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [252/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [253/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [254/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [255/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [256/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [257/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [258/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [259/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [260/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [261/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [262/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [263/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [264/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [265/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [266/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [267/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [268/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [269/781], Avg time for each step 0.0447s
Epoch [1/2], Step: [270/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [271/781], Avg time for each step 0.0468s
Epoch [1/2], Step: [272/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [273/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [274/781], Avg time for each step 0.0433s
Epoch [1/2], Step: [275/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [276/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [277/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [278/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [279/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [280/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [281/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [282/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [283/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [284/781], Avg time for each step 0.0421s
Epoch [1/2], Step: [285/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [286/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [287/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [288/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [289/781], Avg time for each step 0.0470s
